Pick_Number,Team,Player,Position,College
127,New Orleans,Jake Haener,QB,Fresno State
128,LA Rams,Stetson Bennett,QB,Georgia
129,Dallas,Junior Fehoko,DE,San Jose State
130,Jacksonville,Tyler Lacy,DE,Oklahoma State
131,Cincinnati,Charlie Jones,WR,Purdue
132,Pittsburgh,Nick Herbig,LB,Wisconsin
133,Chicago,Tyler Scott,WR,Cincinnati
134,Minnesota,Jay Ward,DB,Louisiana State
135,Las Vegas,Aidan O'Connell,QB,Purdue
136,Jacksonville,Yasir Abdullah,LB,Louisville
137,Washington,K.J. Henry,DE,Clemson
138,Indianapolis,Darius Rush,DB,South Carolina
139,Arizona,Clayton Tune,QB,Houston
140,Cleveland,Dorian Thompson-Robinson,QB,UCLA
141,Minnesota,Jaquelin Roy,DT,Louisiana State
142,Cleveland,Cameron Mitchell,DB,Northwestern
143,NY Jets,Israel Abanikanda,RB,Pittsburgh
144,New England,Atonio Mafi,OG,UCLA
145,Carolina,Jammie Robinson,DB,Florida State
146,New Orleans,Jordan Howden,DB,Minnesota
147,Tennessee,Josh Whyle,TE,Cincinnati
148,Chicago,Noah Sewell,LB,Oregon
149,Green Bay,Sean Clifford,QB,Penn State
150,Buffalo,Justin Shorter,WR,Florida
151,Seattle,Mike Morris,DE,Michigan
152,Detroit,Colby Sorsdal,OT,William & Mary
153,Tampa Bay,SirVocea Dennis,LB,Pittsburgh
154,Seattle,Olusegun Oluwatimi,C,Michigan
155,San Francisco,Darrell Luter,DB,South Alabama
156,LA Chargers,Jordan McFadden,OG,Clemson
157,Baltimore,Kyu Blu Kelly,DB,Stanford
158,Indianapolis,Daniel Scott,DB,California
159,Green Bay,Dontayvion Wicks,WR,Virginia
160,Jacksonville,Antonio Johnson,DB,Texas A&M
161,LA Rams,Nick Hampton,LB,Appalachian State
162,Indianapolis,Will Mallory,TE,Miami
163,Cincinnati,Chase Brown,RB,Illinois
164,Minnesota,Jaren Hall,QB,Brigham Young
165,Chicago,Terell Smith,DB,Minnesota
166,Kansas City,BJ Thompson,DE,Stephen F. Austin
167,Houston,Henry To'o To'o,LB,Alabama
168,Arizona,Owen Pappoe,LB,Auburn
169,Dallas,Asim Richards,OT,North Carolina
170,Las Vegas,Christopher Smith,DB,Georgia
171,Tampa Bay,Payne Durham,TE,Purdue
172,NY Giants,Eric Gray,RB,Oklahoma
173,San Francisco,Robert Beal,DE,Georgia
174,LA Rams,Warren McClendon,OT,Georgia
175,LA Rams,Davis Allen,TE,Clemson
176,Indianapolis,Evan Hull,RB,Northwestern
177,LA Rams,Puka Nacua,WR,Brigham Young
178,Dallas,Eric Scott,DB,Southern Mississippi
179,Green Bay,Karl Brooks,DE,Bowling Green
180,Arizona,Kei'Trel Clark,DB,Louisville
181,Tampa Bay,Josh Hayes,DB,Kansas State
182,LA Rams,Tre'Vius Hodges-Tomlinson,DB,Texas Christian
183,Denver,JL Skinner,DB,Boise State
184,NY Jets,Zaire Barnes,LB,Western Michigan
185,Jacksonville,Parker Washington,WR,Penn State
186,Tennessee,Jaelyn Duncan,OT,Maryland
187,New England,Kayshon Boutte,WR,Louisiana State
188,Philadelphia,Tanner McKee,QB,Stanford
189,LA Rams,Ochaun Mathis,LB,Nebraska
190,Cleveland,Luke Wypler,C,Ohio State
191,Tampa Bay,Trey Palmer,WR,Nebraska
192,New England,Bryce Baringer,P,Michigan State
193,Washington,Christopher Rodriguez,RB,Kentucky
194,Kansas City,Keondre Coburn,DT,Texas
195,New Orleans,A.T. Perry,WR,Wake Forest
196,Tampa Bay,Jose Ramirez,DE,Eastern Michigan
197,Miami,Elijah Higgins,WR,Stanford
198,Seattle,Jerrick Reed,DB,New Mexico
199,Baltimore,Malaesala Aumavae-Laulu,OT,Oregon
200,LA Chargers,Scott Matlock,DT,Boise State
201,Houston,Jarrett Patterson,C,Notre Dame
202,Jacksonville,Christian Braswell,DB,Rutgers
203,Las Vegas,Amari Burney,LB,Florida
204,NY Jets,Jarrick Bernard,DB,Louisiana State
205,Houston,Xavier Hutchinson,WR,Iowa State
206,Cincinnati,Andrei Iosivas,WR,Princeton
207,Green Bay,Anders Carlson,K,Auburn
208,Jacksonville,Erick Hallett,DB,Pittsburgh
209,NY Giants,Tre Hawkins,DB,Old Dominion
210,New England,Demario Douglas,WR,Liberty
211,Indianapolis,Titus Leo,LB,Wagner
212,Dallas,Deuce Vaughn,RB,Kansas State
213,Arizona,Dante Stills,DT,West Virginia
214,New England,Ameer Speed,DB,Michigan State
215,LA Rams,Zach Evans,RB,Mississippi
216,San Francisco,Dee Winters,LB,Texas Christian
217,Cincinnati,Brad Robbins,P,Michigan
218,Chicago,Travis Bell,DT,Kennesaw State
219,Detroit,Antoine Green,WR,North Carolina
220,NY Jets,Zack Kuntz,TE,Old Dominion
221,Indianapolis,Jaylon Jones,DB,Texas A&M
222,Minnesota,DeWayne McBride,RB,Alabama-Birmingham
223,LA Rams,Ethan Evans,P,Wingate
